"movie_title","director_name","title_year","imdb_score","rating_category","budget","gross","profit","roi","budget_category","is_profitable","duration","content_rating","primary_genre","language","country","num_voted_users","num_critic_for_reviews","num_user_for_reviews","movie_facebook_likes","budget_outlier","gross_outlier","profit_outlier","roi_outlier","imdb_score_outlier"
"Superman Returns ","Bryan Singer",2006,6.1,"Average",2.09e+08,200069408,-8930592,-0.0427301052631579,"High",0,169,"PG-13","Action","English","USA",240396,434,2367,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Quantum of Solace ","Marc Forster",2008,6.7,"Good",2e+08,168368427,-31631573,-0.158157865,"High",0,106,"PG-13","Action","English","UK",330784,403,1243,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Pirates of the Caribbean: Dead Man's Chest ","Gore Verbinski",2006,7.3,"Good",2.25e+08,423032628,198032628,0.880145013333333,"High",1,151,"PG-13","Action","English","USA",522040,313,1832,5000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Lone Ranger ","Gore Verbinski",2013,6.5,"Good",2.15e+08,89289910,-125710090,-0.584698093023256,"High",0,150,"PG-13","Action","English","USA",181792,450,711,48000,TRUE,FALSE,TRUE,FALSE,FALSE
"Man of Steel ","Zack Snyder",2013,7.2,"Good",2.25e+08,291021565,66021565,0.293429177777778,"High",1,143,"PG-13","Action","English","USA",548573,733,2536,118000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Chronicles of Narnia: Prince Caspian ","Andrew Adamson",2008,6.6,"Good",2.25e+08,141614023,-83385977,-0.370604342222222,"High",0,150,"PG","Action","English","USA",149922,258,438,0,TRUE,FALSE,TRUE,FALSE,FALSE
"The Avengers ","Joss Whedon",2012,8.1,"Excellent",2.2e+08,623279547,403279547,1.83308885,"High",1,173,"PG-13","Action","English","USA",995415,703,1722,123000,TRUE,TRUE,TRUE,FALSE,FALSE
"Pirates of the Caribbean: On Stranger Tides ","Rob Marshall",2011,6.7,"Good",2.5e+08,241063875,-8936125,-0.0357445,"High",0,136,"PG-13","Action","English","USA",370704,448,484,58000,TRUE,TRUE,FALSE,FALSE,FALSE
"Men in Black 3 ","Barry Sonnenfeld",2012,6.8,"Good",2.25e+08,179020854,-45979146,-0.20435176,"High",0,106,"PG-13","Action","English","USA",268154,451,341,40000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Hobbit: The Battle of the Five Armies ","Peter Jackson",2014,7.5,"Excellent",2.5e+08,255108370,5108370,0.02043348,"High",1,164,"PG-13","Adventure","English","New Zealand",354228,422,802,65000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Amazing Spider-Man ","Marc Webb",2012,7,"Good",2.3e+08,262030663,32030663,0.139263752173913,"High",1,153,"PG-13","Action","English","USA",451803,599,1225,56000,TRUE,TRUE,FALSE,FALSE,FALSE
"Robin Hood ","Ridley Scott",2010,6.7,"Good",2e+08,105219735,-94780265,-0.473901325,"High",0,156,"PG-13","Action","English","USA",211765,343,546,17000,TRUE,FALSE,TRUE,FALSE,FALSE
"The Hobbit: The Desolation of Smaug ","Peter Jackson",2013,7.9,"Excellent",2.25e+08,258355354,33355354,0.148246017777778,"High",1,186,"PG-13","Adventure","English","USA",483540,509,951,83000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Golden Compass ","Chris Weitz",2007,6.1,"Average",1.8e+08,70083519,-109916481,-0.610647116666667,"High",0,113,"PG-13","Adventure","English","USA",149019,251,666,0,TRUE,FALSE,TRUE,FALSE,FALSE
"King Kong ","Peter Jackson",2005,7.2,"Good",2.07e+08,218051260,11051260,0.053387729468599,"High",1,201,"PG-13","Action","English","New Zealand",316018,446,2618,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Titanic ","James Cameron",1997,7.7,"Excellent",2e+08,658672302,458672302,2.29336151,"High",1,194,"PG-13","Drama","English","USA",793059,315,2528,26000,TRUE,TRUE,TRUE,FALSE,FALSE
"Captain America: Civil War ","Anthony Russo",2016,8.2,"Excellent",2.5e+08,407197282,157197282,0.628789128,"High",1,147,"PG-13","Action","English","USA",272670,516,1022,72000,TRUE,TRUE,TRUE,FALSE,FALSE
"Battleship ","Peter Berg",2012,5.9,"Average",2.09e+08,65173160,-143826840,-0.688166698564593,"High",0,131,"PG-13","Action","English","USA",202382,377,751,44000,TRUE,FALSE,TRUE,FALSE,FALSE
"Jurassic World ","Colin Trevorrow",2015,7,"Good",1.5e+08,652177271,502177271,3.34784847333333,"High",1,124,"PG-13","Action","English","USA",418214,644,1290,150000,TRUE,TRUE,TRUE,FALSE,FALSE
"Skyfall ","Sam Mendes",2012,7.8,"Excellent",2e+08,304360277,104360277,0.521801385,"High",1,143,"PG-13","Action","English","UK",522030,750,1498,80000,TRUE,TRUE,TRUE,FALSE,FALSE
"Spider-Man 2 ","Sam Raimi",2004,7.3,"Good",2e+08,373377893,173377893,0.866889465,"High",1,135,"PG-13","Action","English","USA",411164,300,1303,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Iron Man 3 ","Shane Black",2013,7.2,"Good",2e+08,408992272,208992272,1.04496136,"High",1,195,"PG-13","Action","English","USA",557489,608,1187,95000,TRUE,TRUE,TRUE,FALSE,FALSE
"Alice in Wonderland ","Tim Burton",2010,6.5,"Good",2e+08,334185206,134185206,0.67092603,"High",1,108,"PG","Adventure","English","USA",306320,451,736,24000,TRUE,TRUE,TRUE,FALSE,FALSE
"X-Men: The Last Stand ","Brett Ratner",2006,6.8,"Good",2.1e+08,234360014,24360014,0.116000066666667,"High",1,104,"PG-13","Action","English","Canada",383427,334,1912,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Monsters University ","Dan Scanlon",2013,7.3,"Good",2e+08,268488329,68488329,0.342441645,"High",1,104,"G","Adventure","English","USA",235025,376,265,44000,TRUE,TRUE,FALSE,FALSE,FALSE
"Transformers: Revenge of the Fallen ","Michael Bay",2009,6,"Average",2e+08,402076689,202076689,1.010383445,"High",1,150,"PG-13","Action","English","USA",323207,366,1439,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Transformers: Age of Extinction ","Michael Bay",2014,5.7,"Average",2.1e+08,245428137,35428137,0.168705414285714,"High",1,165,"PG-13","Action","English","USA",242420,378,918,56000,TRUE,TRUE,FALSE,FALSE,FALSE
"Oz the Great and Powerful ","Sam Raimi",2013,6.4,"Average",2.15e+08,234903076,19903076,0.0925724465116279,"High",1,130,"PG","Adventure","English","USA",175409,525,511,60000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Amazing Spider-Man 2 ","Marc Webb",2014,6.7,"Good",2e+08,202853933,2853933,0.014269665,"High",1,142,"PG-13","Action","English","USA",321227,495,1067,41000,TRUE,TRUE,FALSE,FALSE,FALSE
"TRON: Legacy ","Joseph Kosinski",2010,6.8,"Good",1.7e+08,172051787,2051787,0.0120693352941176,"High",1,125,"PG","Action","English","USA",264183,469,665,30000,TRUE,TRUE,FALSE,FALSE,FALSE
"Cars 2 ","John Lasseter",2011,6.3,"Average",2e+08,191450875,-8549125,-0.042745625,"High",0,106,"G","Adventure","English","USA",101178,304,283,10000,TRUE,TRUE,FALSE,FALSE,FALSE
"Green Lantern ","Martin Campbell",2011,5.6,"Average",2e+08,116593191,-83406809,-0.417034045,"High",0,123,"PG-13","Action","English","USA",223393,436,550,24000,TRUE,FALSE,TRUE,FALSE,FALSE
"Toy Story 3 ","Lee Unkrich",2010,8.3,"Excellent",2e+08,414984497,214984497,1.074922485,"High",1,103,"G","Adventure","English","USA",544884,453,733,30000,TRUE,TRUE,TRUE,FALSE,FALSE
"Terminator Salvation ","McG",2009,6.6,"Good",2e+08,125320003,-74679997,-0.373399985,"High",0,118,"PG-13","Action","English","USA",286095,422,974,0,TRUE,FALSE,TRUE,FALSE,FALSE
"Furious 7 ","James Wan",2015,7.2,"Good",1.9e+08,350034110,160034110,0.842284789473684,"High",1,140,"PG-13","Action","English","USA",278232,424,657,94000,TRUE,TRUE,TRUE,FALSE,FALSE
"World War Z ","Marc Forster",2013,7,"Good",1.9e+08,202351611,12351611,0.0650084789473684,"High",1,123,"PG-13","Action","English","USA",465019,654,995,129000,TRUE,TRUE,FALSE,FALSE,FALSE
"X-Men: Days of Future Past ","Bryan Singer",2014,8,"Excellent",2e+08,233914986,33914986,0.16957493,"High",1,149,"PG-13","Action","English","USA",514125,539,752,82000,TRUE,TRUE,FALSE,FALSE,FALSE
"Star Trek Into Darkness ","J.J. Abrams",2013,7.8,"Excellent",1.9e+08,228756232,38756232,0.203980168421053,"High",1,132,"PG-13","Action","English","USA",395573,590,1171,92000,TRUE,TRUE,FALSE,FALSE,FALSE
"Jack the Giant Slayer ","Bryan Singer",2013,6.3,"Average",1.95e+08,65171860,-129828140,-0.665785333333333,"High",0,114,"PG-13","Adventure","English","USA",106416,338,205,22000,TRUE,FALSE,TRUE,FALSE,FALSE
"The Great Gatsby ","Baz Luhrmann",2013,7.3,"Good",1.05e+08,144812796,39812796,0.379169485714286,"High",1,143,"PG-13","Drama","English","Australia",362912,490,753,115000,FALSE,FALSE,FALSE,FALSE,FALSE
"Prince of Persia: The Sands of Time ","Mike Newell",2010,6.6,"Good",2e+08,90755643,-109244357,-0.546221785,"High",0,116,"PG-13","Action","English","USA",222403,306,453,23000,TRUE,FALSE,TRUE,FALSE,FALSE
"Pacific Rim ","Guillermo del Toro",2013,7,"Good",1.9e+08,101785482,-88214518,-0.464286936842105,"High",0,131,"PG-13","Action","English","USA",381148,575,1106,83000,TRUE,FALSE,TRUE,FALSE,FALSE
"Transformers: Dark of the Moon ","Michael Bay",2011,6.3,"Average",1.95e+08,352358779,157358779,0.806968097435897,"High",1,154,"PG-13","Action","English","USA",326180,428,899,46000,TRUE,TRUE,TRUE,FALSE,FALSE
"Indiana Jones and the Kingdom of the Crystal Skull ","Steven Spielberg",2008,6.2,"Average",1.85e+08,317011114,132011114,0.713573589189189,"High",1,122,"PG-13","Action","English","USA",333847,470,2054,5000,TRUE,TRUE,TRUE,FALSE,FALSE
"Brave ","Mark Andrews",2012,7.2,"Good",1.85e+08,237282182,52282182,0.282606389189189,"High",1,93,"PG","Adventure","English","USA",273556,488,428,39000,TRUE,TRUE,FALSE,FALSE,FALSE
"Star Trek Beyond ","Justin Lin",2016,7.5,"Excellent",1.85e+08,130468626,-54531374,-0.294764183783784,"High",0,122,"PG-13","Action","English","USA",53607,322,432,30000,TRUE,FALSE,FALSE,FALSE,FALSE
"WALL·E ","Andrew Stanton",2008,8.4,"Excellent",1.8e+08,223806889,43806889,0.243371605555556,"High",1,98,"G","Adventure","English","USA",718837,421,1043,16000,TRUE,TRUE,FALSE,FALSE,FALSE
"Rush Hour 3 ","Brett Ratner",2007,6.2,"Average",1.4e+08,140080850,80850,0.0005775,"High",1,91,"PG-13","Action","English","USA",121084,162,221,0,TRUE,FALSE,FALSE,FALSE,FALSE
"2012 ","Roland Emmerich",2009,5.8,"Average",2e+08,166112167,-33887833,-0.169439165,"High",0,158,"PG-13","Action","English","USA",283418,367,1055,13000,TRUE,TRUE,FALSE,FALSE,FALSE
"A Christmas Carol ","Robert Zemeckis",2009,6.8,"Good",2e+08,137850096,-62149904,-0.31074952,"High",0,96,"PG","Animation","English","USA",72809,240,249,0,TRUE,FALSE,TRUE,FALSE,FALSE
"Jupiter Ascending ","Lana Wachowski",2015,5.4,"Poor",1.76e+08,47375327,-128624673,-0.730822005681818,"High",0,127,"PG-13","Action","English","USA",139593,384,720,44000,TRUE,FALSE,TRUE,FALSE,FALSE
"The Legend of Tarzan ","David Yates",2016,6.6,"Good",1.8e+08,124051759,-55948241,-0.310823561111111,"High",0,110,"PG-13","Action","English","USA",42372,248,239,29000,TRUE,FALSE,FALSE,FALSE,FALSE
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Andrew Adamson",2005,6.9,"Good",1.8e+08,291709845,111709845,0.62061025,"High",1,150,"PG","Adventure","English","USA",286506,284,1463,0,TRUE,TRUE,TRUE,FALSE,FALSE
"X-Men: Apocalypse ","Bryan Singer",2016,7.3,"Good",1.78e+08,154985087,-23014913,-0.129297264044944,"High",0,144,"PG-13","Action","English","USA",148379,396,622,54000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Dark Knight ","Christopher Nolan",2008,9,"Excellent",1.85e+08,533316061,348316061,1.88278951891892,"High",1,152,"PG-13","Action","English","USA",1676169,645,4667,37000,TRUE,TRUE,TRUE,FALSE,FALSE
"Up ","Pete Docter",2009,8.3,"Excellent",1.75e+08,292979556,117979556,0.674168891428571,"High",1,96,"PG","Adventure","English","USA",665575,408,704,27000,TRUE,TRUE,TRUE,FALSE,FALSE
"Monsters vs. Aliens ","Rob Letterman",2009,6.5,"Good",1.75e+08,198332128,23332128,0.133326445714286,"High",1,94,"PG","Action","English","USA",114553,219,187,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Iron Man ","Jon Favreau",2008,7.9,"Excellent",1.4e+08,318298180,178298180,1.27355842857143,"High",1,126,"PG-13","Action","English","USA",696338,486,1055,10000,TRUE,TRUE,TRUE,FALSE,FALSE
"Hugo ","Martin Scorsese",2011,7.5,"Excellent",1.7e+08,73820094,-96179906,-0.565764152941176,"High",0,126,"PG","Adventure","English","USA",245333,682,678,42000,TRUE,FALSE,TRUE,FALSE,FALSE
"Wild Wild West ","Barry Sonnenfeld",1999,4.8,"Poor",1.7e+08,113745408,-56254592,-0.330909364705882,"High",0,106,"PG-13","Action","English","USA",129601,85,648,0,TRUE,FALSE,FALSE,FALSE,FALSE
"The Mummy: Tomb of the Dragon Emperor ","Rob Cohen",2008,5.2,"Poor",1.45e+08,102176165,-42823835,-0.295336793103448,"High",0,112,"PG-13","Action","English","USA",117927,264,501,0,TRUE,FALSE,FALSE,FALSE,FALSE
"Suicide Squad ","David Ayer",2016,6.9,"Good",1.75e+08,161087183,-13912817,-0.0795018114285714,"High",0,123,"PG-13","Action","English","USA",118992,418,971,80000,TRUE,TRUE,FALSE,FALSE,FALSE
"Evan Almighty ","Tom Shadyac",2007,5.4,"Poor",1.75e+08,100289690,-74710310,-0.426916057142857,"High",0,96,"PG","Comedy","English","USA",115099,186,257,2000,TRUE,FALSE,TRUE,FALSE,FALSE
"Edge of Tomorrow ","Doug Liman",2014,7.9,"Excellent",1.78e+08,100189501,-77810499,-0.437137634831461,"High",0,113,"PG-13","Action","English","USA",431620,585,741,77000,TRUE,FALSE,TRUE,FALSE,FALSE
"Waterworld ","Kevin Reynolds",1995,6.1,"Average",1.75e+08,88246220,-86753780,-0.495735885714286,"High",0,176,"PG-13","Action","English","USA",144337,91,309,0,TRUE,FALSE,TRUE,FALSE,FALSE
"G.I. Joe: The Rise of Cobra ","Stephen Sommers",2009,5.8,"Average",1.75e+08,150167630,-24832370,-0.141899257142857,"High",0,118,"PG-13","Action","English","USA",174578,250,534,0,TRUE,FALSE,FALSE,FALSE,FALSE
"Inside Out ","Pete Docter",2015,8.3,"Excellent",1.75e+08,356454367,181454367,1.03688209714286,"High",1,95,"PG","Adventure","English","USA",345198,536,773,118000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Jungle Book ","Jon Favreau",2016,7.8,"Excellent",1.75e+08,362645141,187645141,1.07225794857143,"High",1,106,"PG","Adventure","English","UK",106072,370,398,65000,TRUE,TRUE,TRUE,FALSE,FALSE
"Iron Man 2 ","Jon Favreau",2010,7,"Good",2e+08,312057433,112057433,0.560287165,"High",1,124,"PG-13","Action","English","USA",522371,453,723,18000,TRUE,TRUE,TRUE,FALSE,FALSE
"Snow White and the Huntsman ","Rupert Sanders",2012,6.1,"Average",1.7e+08,155111815,-14888185,-0.0875775588235294,"High",0,132,"PG-13","Action","English","USA",228554,416,710,53000,TRUE,TRUE,FALSE,FALSE,FALSE
"Maleficent ","Robert Stromberg",2014,7,"Good",1.8e+08,241407328,61407328,0.341151822222222,"High",1,97,"PG","Action","English","USA",252257,401,634,89000,TRUE,TRUE,FALSE,FALSE,FALSE
"Dawn of the Planet of the Apes ","Matt Reeves",2014,7.6,"Excellent",1.7e+08,208543795,38543795,0.226728205882353,"High",1,130,"PG-13","Action","English","USA",317542,521,620,45000,TRUE,TRUE,FALSE,FALSE,FALSE
"47 Ronin ","Carl Rinsch",2013,6.3,"Average",1.75e+08,38297305,-136702695,-0.781158257142857,"High",0,128,"PG-13","Action","English","USA",116994,218,324,35000,TRUE,FALSE,TRUE,FALSE,FALSE
"Captain America: The Winter Soldier ","Anthony Russo",2014,7.8,"Excellent",1.7e+08,259746958,89746958,0.527923282352941,"High",1,136,"PG-13","Action","English","USA",496749,576,742,55000,TRUE,TRUE,TRUE,FALSE,FALSE
"Shrek Forever After ","Mike Mitchell",2010,6.4,"Average",1.65e+08,238371987,73371987,0.444678709090909,"High",1,93,"PG","Adventure","English","USA",138661,226,173,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Tomorrowland ","Brad Bird",2015,6.5,"Good",1.9e+08,93417865,-96582135,-0.50832702631579,"High",0,130,"PG","Action","English","USA",128306,443,497,37000,TRUE,FALSE,TRUE,FALSE,FALSE
"Big Hero 6 ","Don Hall",2014,7.9,"Excellent",1.65e+08,222487711,57487711,0.34841036969697,"High",1,102,"PG","Action","English","USA",279093,384,433,41000,TRUE,TRUE,FALSE,FALSE,FALSE
"Wreck-It Ralph ","Rich Moore",2012,7.8,"Excellent",1.65e+08,189412677,24412677,0.147955618181818,"High",1,101,"PG","Adventure","English","USA",272534,377,345,40000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Polar Express ","Robert Zemeckis",2004,6.6,"Good",1.65e+08,665426,-164334574,-0.995967115151515,"High",0,100,"G","Adventure","English","USA",120798,188,444,10000,TRUE,FALSE,TRUE,FALSE,FALSE
"Independence Day: Resurgence ","Roland Emmerich",2016,5.5,"Average",1.65e+08,102315545,-62684455,-0.379905787878788,"High",0,120,"PG-13","Action","English","USA",58137,286,520,67000,TRUE,FALSE,TRUE,FALSE,FALSE
"How to Train Your Dragon ","Dean DeBlois",2010,8.2,"Excellent",1.65e+08,217387997,52387997,0.317503012121212,"High",1,98,"PG","Adventure","English","USA",485430,288,492,33000,TRUE,TRUE,FALSE,FALSE,FALSE
"Terminator 3: Rise of the Machines ","Jonathan Mostow",2003,6.4,"Average",2e+08,150350192,-49649808,-0.24824904,"High",0,109,"R","Action","English","USA",305340,280,1676,0,TRUE,FALSE,FALSE,FALSE,FALSE
"Guardians of the Galaxy ","James Gunn",2014,8.1,"Excellent",1.7e+08,333130696,163130696,0.959592329411765,"High",1,121,"PG-13","Action","English","USA",682155,653,1097,96000,TRUE,TRUE,TRUE,FALSE,FALSE
"Interstellar ","Christopher Nolan",2014,8.6,"Excellent",1.65e+08,187991439,22991439,0.139342054545455,"High",1,169,"PG-13","Adventure","English","USA",928227,712,2725,349000,TRUE,TRUE,FALSE,FALSE,FALSE
"Inception ","Christopher Nolan",2010,8.8,"Excellent",1.6e+08,292568851,132568851,0.82855531875,"High",1,148,"PG-13","Action","English","USA",1468200,642,2803,175000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Hobbit: An Unexpected Journey ","Peter Jackson",2012,7.9,"Excellent",1.8e+08,303001229,123001229,0.683340161111111,"High",1,182,"PG-13","Adventure","English","USA",637246,645,1367,166000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Fast and the Furious ","Rob Cohen",2001,6.7,"Good",3.8e+07,144512310,106512310,2.80295552631579,"Medium",1,106,"PG-13","Action","English","USA",272223,187,988,14000,FALSE,FALSE,TRUE,FALSE,FALSE
"The Curious Case of Benjamin Button ","David Fincher",2008,7.8,"Excellent",1.5e+08,127490802,-22509198,-0.15006132,"High",0,166,"PG-13","Drama","English","USA",459346,362,822,23000,TRUE,FALSE,FALSE,FALSE,FALSE
"X-Men: First Class ","Matthew Vaughn",2011,7.8,"Excellent",1.6e+08,146405371,-13594629,-0.08496643125,"High",0,132,"PG-13","Action","English","USA",518537,500,698,54000,TRUE,FALSE,FALSE,FALSE,FALSE
"The Hunger Games: Mockingjay - Part 2 ","Francis Lawrence",2015,6.6,"Good",1.6e+08,281666058,121666058,0.7604128625,"High",1,137,"PG-13","Adventure","English","USA",166137,389,383,38000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Sorcerer's Apprentice ","Jon Turteltaub",2010,6.1,"Average",1.5e+08,63143812,-86856188,-0.579041253333333,"High",0,109,"PG","Action","English","USA",124185,235,238,11000,TRUE,FALSE,TRUE,FALSE,FALSE
"Poseidon ","Wolfgang Petersen",2006,5.6,"Average",1.6e+08,60655503,-99344497,-0.62090310625,"High",0,98,"PG-13","Action","English","USA",82380,231,629,0,TRUE,FALSE,TRUE,FALSE,FALSE
"Alice Through the Looking Glass ","James Bobin",2016,6.4,"Average",1.7e+08,76846624,-93153376,-0.547961035294118,"High",0,113,"PG","Adventure","English","USA",21352,218,131,30000,TRUE,FALSE,TRUE,FALSE,FALSE
"Shrek the Third ","Chris Miller",2007,6.1,"Average",1.6e+08,320706665,160706665,1.00441665625,"High",1,93,"PG","Adventure","English","USA",211971,227,326,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Warcraft ","Duncan Jones",2016,7.3,"Good",1.6e+08,46978995,-113021005,-0.70638128125,"High",0,123,"PG-13","Action","English","USA",111609,275,781,89000,TRUE,FALSE,TRUE,FALSE,FALSE
"Terminator Genisys ","Alan Taylor",2015,6.6,"Good",1.55e+08,89732035,-65267965,-0.42108364516129,"High",0,126,"PG-13","Action","English","USA",188457,474,867,82000,TRUE,FALSE,TRUE,FALSE,FALSE
"The Chronicles of Narnia: The Voyage of the Dawn Treader ","Michael Apted",2010,6.3,"Average",1.55e+08,104383624,-50616376,-0.326557264516129,"High",0,113,"PG","Adventure","English","USA",106446,228,227,11000,TRUE,FALSE,FALSE,FALSE,FALSE
"Pearl Harbor ","Michael Bay",2001,6.1,"Average",1.4e+08,198539855,58539855,0.418141821428571,"High",1,184,"PG-13","Action","English","USA",254111,191,1999,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Transformers ","Michael Bay",2007,7.1,"Good",1.5e+08,318759914,168759914,1.12506609333333,"High",1,144,"PG-13","Action","English","USA",513158,396,1782,8000,TRUE,TRUE,TRUE,FALSE,FALSE
"Alexander ","Oliver Stone",2004,5.5,"Average",1.55e+08,34293771,-120706229,-0.778749864516129,"High",0,206,"R","Action","English","Germany",138863,248,1390,0,TRUE,FALSE,TRUE,FALSE,FALSE
"Harry Potter and the Order of the Phoenix ","David Yates",2007,7.5,"Excellent",1.5e+08,292000866,142000866,0.94667244,"High",1,138,"PG-13","Adventure","English","UK",355137,329,1108,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Harry Potter and the Goblet of Fire ","Mike Newell",2005,7.6,"Excellent",1.5e+08,289994397,139994397,0.93329598,"High",1,157,"PG-13","Adventure","English","UK",385670,295,1896,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Hancock ","Peter Berg",2008,6.4,"Average",1.5e+08,227946274,77946274,0.519641826666667,"High",1,102,"PG-13","Action","English","USA",343648,318,590,0,TRUE,TRUE,TRUE,FALSE,FALSE
"I Am Legend ","Francis Lawrence",2007,7.2,"Good",1.5e+08,256386216,106386216,0.70924144,"High",1,104,"PG-13","Drama","English","USA",530870,323,1413,11000,TRUE,TRUE,TRUE,FALSE,FALSE
"Charlie and the Chocolate Factory ","Tim Burton",2005,6.7,"Good",1.5e+08,206456431,56456431,0.376376206666667,"High",1,115,"PG","Adventure","English","USA",320284,276,1361,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Ratatouille ","Brad Bird",2007,8,"Excellent",1.5e+08,206435493,56435493,0.37623662,"High",1,111,"G","Animation","English","USA",473887,318,626,10000,TRUE,TRUE,FALSE,FALSE,FALSE
"Batman Begins ","Christopher Nolan",2005,8.3,"Excellent",1.5e+08,205343774,55343774,0.368958493333333,"High",1,128,"PG-13","Action","English","USA",980946,478,2685,15000,TRUE,TRUE,FALSE,FALSE,FALSE
"Madagascar: Escape 2 Africa ","Eric Darnell",2008,6.7,"Good",1.5e+08,179982968,29982968,0.199886453333333,"High",1,89,"PG","Action","English","USA",146019,167,119,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Night at the Museum: Battle of the Smithsonian ","Shawn Levy",2009,5.9,"Average",1.5e+08,177243721,27243721,0.181624806666667,"High",1,105,"PG","Adventure","English","USA",130272,185,209,2000,TRUE,TRUE,FALSE,FALSE,FALSE
"X-Men Origins: Wolverine ","Gavin Hood",2009,6.7,"Good",1.5e+08,179883016,29883016,0.199220106666667,"High",1,119,"PG-13","Action","English","USA",361924,350,641,0,TRUE,TRUE,FALSE,FALSE,FALSE
"The Matrix Revolutions ","Lana Wachowski",2003,6.7,"Good",1.5e+08,139259759,-10740241,-0.0716016066666667,"High",0,129,"R","Action","English","Australia",364948,245,2121,0,TRUE,FALSE,FALSE,FALSE,FALSE
"Frozen ","Chris Buck",2013,7.6,"Excellent",1.5e+08,400736600,250736600,1.67157733333333,"High",1,102,"PG","Adventure","English","USA",421658,406,904,58000,TRUE,TRUE,TRUE,FALSE,FALSE
"The Matrix Reloaded ","Lana Wachowski",2003,7.2,"Good",1.5e+08,281492479,131492479,0.876616526666667,"High",1,138,"R","Action","English","USA",421818,275,2789,0,TRUE,TRUE,TRUE,FALSE,FALSE
